,Sentence,type
0,"﻿When you see the word Amazon, what’s the first thing you think of – the world’s biggest forest, the longest river or the largest internet shop – and which do you think is most important?",0
1,"These are the questions in a debate about the internet. Brazil and Peru have made objections to a bid made by the US online shop for the domain name, “.amazon”.",0
2,"Amazon has asked for its company name to be a top-level domain name (currently “.com”), but the South American governments say this would stop the use of this internet address for environmental protection, indigenous rights and other public interest uses.",0
3,"There are many other disputed claims to names, including “.patagonia”.",0
4,"Until now, the differences between commercial, governmental and other types of identity were easy to see in every internet address by the use of “.com”, “.gov” and 20 other categories.",0
5,But soon there are going to be more of these categories – or generic top-level domains (gTLDs) as they are technically known.,0
6,"The Internet Corporation for Assigned Names and Numbers (ICANN) has had bids (each worth almost $200,000) for hundreds of new gTLDs to add to the 22 that we use already.",0
7,"Amazon has applied for many new domains, including “.shop”, “.song ”, “.book” and “.kindle ”. But the one that has caused most discussion is its application for “.amazon”.",0
8,Brazil and Peru want the “.amazon” application to be stopped. They say that a private company should not have a name that is also the name of an important geographical area.,0
9,"“Allowing private companies to register geographical names as gTLDs to profit from the meaning of these names is not, in our view, in the public interest,” the Brazilian Ministry of Science and Technology said.",0
10,"Brazil said other members of the Amazon Cooperation Treaty support its views (Bolivia, Colombia, Ecuador, Guyana, Suriname and Venezuela).",0
11,There have also been other objections over new top-level domains that use geographical or cultural names.,0
12,"Argentina is unhappy that the US outdoor clothing retailer, Patagonia, wants a domain name that has been known far longer as a region of spectacular beauty. “Argentina rejects the '.patagonia' request for a new generic top-level domain. Patagonia is an important region for the country’s economy because it has oil, fishing, mining and agriculture resources. It is also a major tourist destination.”",0
13,They will discuss the disputed bids again at a meeting of ICANN’s Governmental Advisory Committee in Durban in July. The first new domain names will probably be in use before the end of 2013.,0
14,"﻿To tourists, Amsterdam still seems very liberal. Recently the city’s Mayor told them that the coffee shops that sell marijuana would stay open, although there is a new national law to stop drug tourism. But the Dutch capital has a plan to send antisocial neighbours to “scum villages” made from shipping containers, and so maybe now people won’t think it is a liberal city any more.",0
15,"The Mayor, Eberhard van der Laan, says his new plan to solve the problem of antisocial behaviour will cost £810,000. The plan is hopes to protect victims of abuse and homophobia. The camps, where antisocial families will live for three to six months, have been called “scum villages” because last year Geert Wilders, the far-right politician, said that offenders should go to “a village for scum”.",0
16,"Bartho Boer, a spokesman for the Mayor, says that the plans are not illiberal. “We want to defend the liberal values of Amsterdam,” he says. “We want everyone to be who he and she is – whether they are gay and lesbian or try to stop violence and are then victims of harassment. We want to defend them.” According to Boer, the villages are not for “a problem neighbour who has the stereo too loud on Saturday night” but “people who are very violent and in a clear situation where a victim is harassed again and again”.",0
17,"People found guilty of violent harassment will be evicted from their homes and put in temporary homes, including shipping containers in industrial areas of the city. “We call it a living container,” says Boer. The containers have showers and kitchens and have been used as student accommodation. They are going to use the containers because they want to show that if people are antisocial they do not get better accommodation.",0
18,"One Dutch newspaper wrote that in the 19th century antisocial people were moved to villages in Drenthe and Overijssel, which soon became slums. But Boer says that the government has learned from past mistakes and is not planning to put antisocial families together.",0
19,"They are “scum houses” not scum villages, says Boer, “because we don’t want to put more than one of these families in the same area”. After a maximum of six months in these houses, in different parts of the city, the families will get permanent homes. The city government expects to move about ten families a year, which starts in 2013.",0
20,"Police will watch the temporary accommodation, but antisocial families will also be able to see doctors and social workers. “We will take care of them so the whole situation is not going to repeat at the new house they are in,” says Boer.",0
21,"﻿Anitta, a music star from Brazil, has millions of fans, but she is at the centre of a debate about skin colour.",0
22,Some people are saying that Anitta had to give up her black skin to be a success in the mostly white middle-class market.,0
23,The debate was started by photographs that show that Anitta’s skin has got much lighter since she signed a music deal with Warner.,0
24,"In the first photo, before she was famous, she looked darker. In the second photo – a marketing photo after she became famous – she seems lighter. The difference has started a discussion about whether you need to have light skin to be a success in Brazil.",0
25,"Born Larissa de Macedo Machado, the diva-to-be was a church chorister in her childhood. In her teens, she made a name for herself in Rio de Janeiro’s baile funk scene as a dancer and singer.",0
26,"She now has an album and a huge hit single, Show das Poderosas, which was number one in the charts and attracted 52 million YouTube views.",0
27,Many people love her because she is a pop idol with a strong message and some good pop songs. Her marketing team want people to see her as a cultural bridge between the poor people living in the mostly black and mixed-race shanty towns on Rio’s hills and the richer and whiter parts below.,0
28,But now people are asking if she – or her marketing team – have gone too far and changed her too much.,0
29,"This is a sensitive topic in this mixed-raced country. Brazil has the largest population of African descent outside Africa, but race and where your family come from are less important there than colour. There is a clear link between skin colour and inequality.",0
30,"In Brazilian cities, white workers earn twice as much as workers of African descent. Up until 2011, black or mixed-race students also spent two years less at school on average.",0
31,"Most business and government executives are white, but black and mixed-race workers do most of the boring or dirty jobs.",0
32,"Brazil did a census in 2010. Among the 197 million population, 82 million said they were “pardu” (mixed race), 15 million black, two million Asian and 0.5% indigenous.",0
33,"Maycon de Mattos Batista, a financial analyst who used to work with Anitta, said there has been a huge change in Anitta’s image, but not of her colour.",0
34,"“I don’t believe she is whiter; it’s more the makeup, hairstylists and the way she dresses,” he said. “I don’t think that was because of pressure they put on her. She always liked to show off, sing and dance. That was a natural thing for her. I believe that it is because of this naturalness that she has become a success.”",0
35,"Google has made maps of the world’s highest mountains, the ocean floor, the Amazon rainforest and even shown us a bit of North Korea. They want to make maps of the whole world, but they have mostly stayed away from the Arctic.",0
36,"Now, however, Google is starting a very important update to hundreds of years of polar map making – and it hopes that the map will help give a better understanding of life on the permafrost for millions of web users. A small Google team has flown to Iqaluit, the largest town in the Canadian territory of Nunavut. They have taken their warmest winter clothes, many laptop computers and an 18kg telescopic camera that they can fix to their backpacks.",0
37,The team spent four days collecting the images and information that will give the isolated community on Baffin Island something that people across the world who live in cities now take for granted. An Inuit mapping expert helped the Google team and curious locals followed them around.,0
38,"The town of 7,000 people will go on display via Google’s popular Street View application in July 2013.",0
39,"When Google made maps of other parts of the world it used a special camera on a car roof. In Iqaluit that was not possible, so Google’s map makers walked the town’s snowy roads and trails. Some roads are made of ice and disappear in the short summer months.",0
40,"The team also walked along part of a 15km road known as the Road to Nowhere, despite warnings about meeting polar bears.",0
41,"The online map that Google had already created using satellite images was mostly correct, but one road was missing that had been built in the last year.",0
42,"One difficulty was how to place on the map many businesses and homes that have mail sent to the local post office and not delivered to their address. Putting the PO box addresses on the map would mean the new map would show all the companies, banks and schools in the same place, around the Canada Post building in the centre of town.",0
43,"About 30 Inuit elders, business people and high-school pupils helped Google to correct this problem. They were given a laptop computer and told how to make sure their homes, shops and meeting places would show up correctly on the map.",0
44,"The project is more than a novelty. Arif Sayani, the town’s Director of Planning, said that people who are thinking of visiting or moving to the area would be able to use the maps to see the area. It may also help planning decisions in Iqaluit happen more quickly.",0
45,"The project leader for Google said he hoped to see the work continue in other northern towns. But moving people and equipment around the vast Arctic territory is very expensive. So, in the future, Google might send equipment to the area and ask volunteers to complete the map.",0
46,,0
47,﻿The auction of a Banksy painting that disappeared from the wall of a north London shop was stopped just moments before it was going to be sold.,0
48,"Slave Labour is a spray-painted artwork that shows a child making flags. The expected price was about $700,000. It was going to be in a sale of street art in Florida.",0
49,"But Frederic Thut, the owner of the Fine Arts Auction Miami art house said that Slave Labour and a second work by the secretive British street artist were removed from sale at the auction. He did not want to give the name of the seller.",0
50,"People in Haringey, London, were very happy, because they led a campaign to stop the sale of the artwork that was removed from the wall of a Poundland shop in Haringey.",0
51,"“I will write to the auction house to find out what will happen next, but for now we are really pleased that a people’s campaign in London has had an impact in the US. It’s a real victory for the people.” said Alan Strickland, a Haringey councillor.",0
52,"The auction house said it had told the owners of the two Banksys that they should remove them from the sale. “There are no legal problems with the sale of the artwork by Banksy, but FAAM told its sellers they should remove them from the auction.”",0
53,Critics have said the auction house was buying and selling stolen property but Thut said that the seller was the real owner and that the sale was legal.,0
54,"He added that his gallery had received many emails and phone calls from the UK, but said he thought it was right to sell the two pieces of artwork because it would keep them safe.",0
55,"The second Banksy that was going to be auctioned was a 2007 artwork called Wet Dog that was removed from a Bethlehem wall. Its estimated price is up to $800,000.",0
56,Poundland said it had no idea who removed the 4ft x 5ft mural from the side of its shop.,0
57,"Banksy himself has not commented on the sale of Slave Labour, but he has condemned people who have tried to sell his artwork in the past.",0
58,"Stephan Keszler, the dealer at a 2011 auction in New York that also planned to sell Banky’s paintings, believes selling Banksy’s works without his permission is fair.",0
